cusip,first_year,last_year,null_count,total_values,percent_nulls
68213N109,1999,2024,26,312,8.333333333333332
56400P706,2002,2024,25,276,9.057971014492754
440694305,2005,2015,10,132,7.575757575757576
07317Q105,1994,2024,38,372,10.21505376344086
233377407,1995,2024,34,360,9.444444444444445
682310875,1998,2024,27,324,8.333333333333332
91705J204,1997,2024,28,336,8.333333333333332
09857L108,1997,2024,34,336,10.119047619047619
228368106,1985,2024,56,480,11.666666666666666
693282105,1999,2024,26,312,8.333333333333332
09060U606,2015,2024,10,120,8.333333333333332
913290102,1999,2024,187,312,59.93589743589743
30212P303,2002,2024,25,276,9.057971014492754
698813102,1992,2024,44,396,11.11111111111111
311900104,1987,2024,50,456,10.964912280701753
923725105,1994,2024,35,372,9.408602150537634
68628V308,2005,2024,20,240,8.333333333333332
740367404,2003,2024,164,264,62.121212121212125
89679E300,2012,2024,92,156,58.97435897435898
92854B109,2012,2024,13,156,8.333333333333332
G6S01W108,2010,2016,30,84,35.714285714285715
460321201,1985,2015,43,372,11.559139784946236
42226K105,1993,2024,90,384,23.4375
443510607,1985,2024,56,480,11.666666666666666
143436400,1986,2015,41,360,11.38888888888889
30292L107,2017,2024,16,96,16.666666666666664
629209305,2011,2024,40,168,23.809523809523807
579489303,1987,2019,45,396,11.363636363636363
92941V308,2013,2024,12,144,8.333333333333332
21099Y004,1985,1992,13,96,13.541666666666666
98420N105,2012,2024,13,156,8.333333333333332
006855100,2011,2015,15,60,25.0
40412C101,1990,2024,44,420,10.476190476190476
71363P106,1995,2024,34,360,9.444444444444445
737630103,1985,2024,54,480,11.25
92552R406,2003,2024,30,264,11.363636363636363
901109108,1985,2024,54,480,11.25
848574109,2005,2024,23,240,9.583333333333334
043436104,2000,2024,27,300,9.0
811371707,1985,2004,70,240,29.166666666666668
00912X302,2010,2024,30,180,16.666666666666664
375558103,1995,2024,34,360,9.444444444444445
598126100,1995,2000,19,72,26.38888888888889
05580M108,2007,2023,29,204,14.215686274509803
866082100,2009,2024,32,192,16.666666666666664
87724P106,2011,2024,29,168,17.261904761904763
94419L101,2012,2024,14,156,8.974358974358974
16359R103,1985,2024,54,480,11.25
858586100,1985,2024,55,480,11.458333333333332
883435307,1992,2009,23,216,10.648148148148149
920253101,1985,2024,60,480,12.5
194162103,1985,2024,55,480,11.458333333333332
767292105,2001,2024,24,288,8.333333333333332
46134L105,2012,2024,94,156,60.256410256410255
089698104,1992,1999,44,96,45.83333333333333
70532Y303,2012,2024,13,156,8.333333333333332
89421Q205,2000,2024,25,300,8.333333333333332
G7T16G103,1991,2024,41,408,10.049019607843137
165303108,1985,2024,83,480,17.291666666666668
019411107,1985,1999,30,180,16.666666666666664
44862P208,2005,2024,75,240,31.25
934423104,2003,2024,24,264,9.090909090909092
829933100,1993,2024,38,384,9.895833333333332
04238R106,2014,2021,9,96,9.375
172936106,1987,1995,25,108,23.14814814814815
087509105,1985,2002,33,216,15.277777777777779
379577208,2010,2024,15,180,8.333333333333332
M85548101,1993,2024,38,384,9.895833333333332
36269P104,1998,2024,27,324,8.333333333333332
83600C103,2002,2024,53,276,19.202898550724637
019330109,2003,2024,22,264,8.333333333333332
90459D108,1997,1999,12,36,33.33333333333333
75508B104,2012,2024,15,156,9.615384615384617
65341D102,2013,2024,26,144,18.055555555555554
G0403H108,1985,2024,152,480,31.666666666666664
840441109,1993,2024,228,384,59.375
05990K106,1999,2024,186,312,59.61538461538461
494521305,1987,1992,11,72,15.277777777777779
949746101,1985,2024,293,480,61.04166666666667
242370203,1995,2019,28,300,9.333333333333334
27579R104,1997,2024,198,336,58.92857142857143
278642103,1996,2024,32,348,9.195402298850574
88145X108,2007,2024,128,216,59.25925925925925
8342EP107,2001,2024,24,288,8.333333333333332
088929104,1999,2024,55,312,17.628205128205128
163851108,2012,2024,19,156,12.179487179487179
428337109,2010,2019,14,120,11.666666666666666
001870104,1985,1988,19,48,39.58333333333333
00430H201,2013,2024,12,144,8.333333333333332
099541203,1987,2001,35,180,19.444444444444446
42237K508,2012,2023,12,144,8.333333333333332
667340103,2006,2024,138,228,60.526315789473685
12542A206,1990,1998,57,108,52.77777777777778
50218P107,2011,2019,43,108,39.81481481481482
55305B101,1985,2024,132,480,27.500000000000004
191216100,1985,2024,54,480,11.25
231269309,1998,2024,27,324,8.333333333333332
G21082105,1993,2024,37,384,9.635416666666668
19249H103,2012,2024,13,156,8.333333333333332
36467J108,2011,2024,28,168,16.666666666666664
23282W605,2002,2024,23,276,8.333333333333332
97650W108,1998,2024,191,324,58.95061728395061
22822V101,1996,2024,32,348,9.195402298850574
N00985106,2005,2024,41,240,17.083333333333332
75689M101,1999,2024,40,312,12.82051282051282
43300A203,1985,2024,100,480,20.833333333333336
48203R104,1997,2024,28,336,8.333333333333332
023912108,1986,2009,205,288,71.18055555555556
403949100,2003,2024,27,264,10.227272727272728
904767704,1985,2024,94,480,19.583333333333332
74022D407,1999,2024,26,312,8.333333333333332
M53213100,2012,2024,17,156,10.897435897435898
45780L104,2012,2024,13,156,8.333333333333332
G29183103,1985,2024,54,480,11.25
607415106,1990,1995,51,72,70.83333333333334
98413B100,1997,1999,13,36,36.11111111111111
449246206,1997,2003,7,84,8.333333333333332
89099A003,2010,2016,50,84,59.523809523809526
563771203,1997,2024,28,336,8.333333333333332
G3529X106,1999,2002,3,48,6.25
235851102,1985,2024,63,480,13.125
018802108,1985,2024,98,480,20.416666666666668
10948W103,2013,2024,32,144,22.22222222222222
192576106,1985,2024,54,480,11.25
253651202,1985,2024,56,480,11.666666666666666
82620P102,1998,2024,196,324,60.49382716049383
888314705,1994,2024,37,372,9.946236559139784
020772109,1998,2024,27,324,8.333333333333332
713448108,1985,2024,64,480,13.333333333333334
724078100,2001,2024,65,288,22.569444444444446
M87915274,1993,2024,37,384,9.635416666666668
129915203,1989,2009,57,252,22.61904761904762
29255U104,1996,2001,18,72,25.0
00164V103,2010,2024,16,180,8.88888888888889
228622106,1990,1999,59,120,49.166666666666664
89299Y009,1985,1986,3,24,12.5
440327104,1990,2024,131,420,31.19047619047619
80303D305,2012,2024,13,156,8.333333333333332
070121207,1985,1989,9,60,15.0
668074305,1985,2024,82,480,17.083333333333332
814047106,1999,2008,69,120,57.49999999999999
825107105,1999,2024,190,312,60.89743589743589
M81865111,1995,2024,33,360,9.166666666666666
192422103,1989,2024,46,432,10.648148148148149
760759100,1997,2024,31,336,9.226190476190476
317441103,1985,1989,49,60,81.66666666666667
37229T509,2011,2024,14,168,8.333333333333332
L7257P205,2009,2019,10,132,7.575757575757576
269153102,1997,2000,4,48,8.333333333333332
278768106,2006,2024,21,228,9.210526315789473
40609P105,1989,2024,45,432,10.416666666666668
31620R303,2003,2024,50,264,18.939393939393938
609027107,1992,2024,40,396,10.1010101010101
72581M305,1998,2024,27,324,8.333333333333332
817587108,1985,2000,28,192,14.583333333333334
G0535E106,1996,2024,33,348,9.482758620689655
002824100,1985,2024,57,480,11.875
158496109,1992,2008,24,204,11.76470588235294
511656100,1999,2024,187,312,59.93589743589743
03071H100,2003,2024,53,264,20.075757575757574
316773100,1985,2024,298,480,62.083333333333336
589400100,1988,2024,127,444,28.603603603603606
910710102,2007,2024,39,216,18.055555555555554
125269100,2003,2024,24,264,9.090909090909092
883556102,1985,2024,54,480,11.25
92827K301,1999,2024,26,312,8.333333333333332
02665T306,2011,2024,32,168,19.047619047619047
847607108,1985,1995,29,132,21.96969696969697
744482001,1985,2024,105,480,21.875
96208T104,2003,2024,52,264,19.696969696969695
853887206,1985,2013,42,348,12.068965517241379
911805307,2002,2024,23,276,8.333333333333332
73931J109,1998,2023,26,312,8.333333333333332
25811P852,1988,2013,89,312,28.525641025641026
670837103,1985,2024,80,480,16.666666666666664
87265H109,2014,2024,24,132,18.181818181818183
892356106,1993,2024,38,384,9.895833333333332
G5214E103,2007,2024,18,216,8.333333333333332
497266106,1985,2024,60,480,12.5
532457108,1985,2024,55,480,11.458333333333332
205768302,2015,2024,43,120,35.833333333333336
68268W103,1985,2024,110,480,22.916666666666664
81211K100,1985,2024,54,480,11.25
898697206,1995,2024,34,360,9.444444444444445
023436108,1993,2024,37,384,9.635416666666668
G7997W102,2008,2024,17,204,8.333333333333332
562803106,1998,2024,43,324,13.271604938271606
G2519Y108,1993,2024,235,384,61.197916666666664
68620A302,2012,2012,1,12,8.333333333333332
75970E107,1992,2024,243,396,61.36363636363637
98419M100,2009,2024,19,192,9.895833333333332
57686G105,1985,2024,57,480,11.875
904311107,2003,2021,19,228,8.333333333333332
36191U106,2012,2013,1,24,4.166666666666666
88262P102,1985,2024,87,480,18.125
00489Q102,2005,2024,46,240,19.166666666666668
64110L106,2000,2024,28,300,9.333333333333334
02156K103,1985,2024,71,480,14.791666666666666
656568508,1985,2011,45,324,13.88888888888889
981475106,2002,2024,23,276,8.333333333333332
G8657Q104,2003,2010,7,96,7.291666666666667
98139A105,2012,2024,15,156,9.615384615384617
360921209,1992,2012,27,252,10.714285714285714
91879Q109,1986,1991,54,72,75.0
928298108,1989,2024,46,432,10.648148148148149
15644G104,2015,2018,14,48,29.166666666666668
890260839,2011,2024,14,168,8.333333333333332
269524104,1993,1998,31,72,43.05555555555556
402635502,1992,2024,39,396,9.848484848484848
209115104,1985,2024,97,480,20.208333333333332
00751Y106,1999,2024,26,312,8.333333333333332
001084102,1991,2024,42,408,10.294117647058822
165167735,1998,2024,30,324,9.25925925925926
29476L107,1993,2024,113,384,29.427083333333332
689648103,1985,2024,80,480,16.666666666666664
756109104,1994,2024,92,372,24.731182795698924
G3198U102,2011,2024,36,168,21.428571428571427
34380C201,2007,2024,18,216,8.333333333333332
203607106,1985,2024,323,480,67.29166666666667
157085101,1996,2024,32,348,9.195402298850574
185899101,1985,2024,58,480,12.083333333333334
98400H102,2013,2024,12,144,8.333333333333332
008492100,1993,2024,96,384,25.0
98417K106,1995,2010,26,192,13.541666666666666
G8994E103,1985,2024,54,480,11.25
207410101,1986,2024,52,468,11.11111111111111
14056D105,1989,2012,197,288,68.40277777777779
64031N108,2001,2024,56,288,19.444444444444446
960908507,2011,2024,18,168,10.714285714285714
055639108,2004,2014,10,132,7.575757575757576
248019101,1985,2024,56,480,11.666666666666666
909907107,1985,2024,313,480,65.20833333333333
403829104,2006,2024,81,228,35.526315789473685
30263Y104,2010,2024,106,180,58.88888888888889
78999Z937,2012,2014,13,36,36.11111111111111
039014303,2013,2024,12,144,8.333333333333332
21077F100,2024,2024,1,12,8.333333333333332
H42097107,2000,2024,53,300,17.666666666666668
776696106,2003,2024,22,264,8.333333333333332
70319R109,1999,2024,185,312,59.294871794871796
70336T500,2004,2013,32,120,26.666666666666668
79957L100,1991,2024,44,408,10.784313725490197
457187102,1995,2024,37,360,10.277777777777777
200340107,1985,2024,298,480,62.083333333333336
693475105,1985,2024,320,480,66.66666666666666
42727E103,1988,2024,47,444,10.585585585585585
643611106,1990,2024,44,420,10.476190476190476
00486H105,1993,2024,37,384,9.635416666666668
077347300,1985,2024,57,480,11.875
45772G105,2000,2006,28,84,33.33333333333333
